name,pack,price,shield_type,length,sheath_color,conductor_strand_type,outer_sheath_material,awg,strand_num,core_strands,outer_diameter,voltage_rating,attenuation,strand_size,fire_behavior,cross_sectional_area
RS Pro Red 5m Cat6 Ethernet Cable Assembly RJ45,Each,PHP319.55,S/FTP,5m,Red,-,PVC,-,-,-,-,-,-,-,-,-
RS Pro Yellow 3m Cat6 Ethernet Cable Assembly RJ45,Each,PHP247.12,U/UTP,3m,Yellow,-,PVC,-,-,-,-,-,-,-,-,-
"Cinch Connectors Blue Cat6 Cable UTP PVC, 1.524m",Each,PHP137.25,UTP,1.524m,Blue,-,PVC,-,-,-,-,-,-,-,-,-
"Slim patch cord, 28AWG CAT6 UTP LSOH 3m",Each,PHP854.86,UTP,3m,White,-,LSZH,28 AWG,-,-,-,-,-,-,-,-
"Belden Yellow Cat6 Cable U/UTP PVC, 304m",1 Reel of 304 Metre(s),"PHP21,523.62",U/UTP,304m,Yellow,Solid,PVC,23 AWG,1,1/23,9.27mm,300 V,1.9 dB/100m @ 1MHz,-,-,0.26 mm²
Patch cord Cat6 FTP LSZH Blue 20m,Each,"PHP1,150.30",FTP,20m,Blue,-,LSZH,-,-,-,-,-,-,-,-,-
"Lapp Green Cat6 Cable Copper Braid PUR, 50m",1 Reel of 50 Metre(s),"PHP25,931.31",Copper Braid,50m,Green,Solid,PUR,22 AWG,-,-,8.7mm,125 V,-,-,-,-
Roline Blue 15m Cat6 Ethernet Cable Assembly RJ45,Each,"PHP1,045.59",S/FTP,15m,Blue,-,-,-,-,-,-,-,-,-,-,-
"CAE Red Cat6 Cable U/FTP PVC, 100m",1 Reel of 100 Metre(s),"PHP5,043.49",U/FTP,100m,Red,Stranded,PVC,26 AWG,7,7/26,5.6mm,-,46.9 Db@200 Mhz,26 AWG,-,-
RS Pro Black 5m Cat6 Ethernet Cable Assembly RJ45,Each,PHP339.83,S/FTP,5m,Black,-,PVC,-,-,-,-,-,-,-,-,-
RS Pro Green 5m Cat6 Ethernet Cable Assembly RJ45,Each,PHP339.83,S/FTP,5m,Green,-,PVC,-,-,-,-,-,-,-,-,-
"RS Pro Grey Cat6 Cable U/UTP PVC, 305m",1 Reel of 305 Metre(s),"PHP11,672.02",U/UTP,305m,Grey,Stranded,PVC,23 AWG,1,1/23,6mm,-,"2 dB @ 1 MHz, 10.7 dB @ 31.25 MHz, 15.4 dB @ 62.5 MHz, 19.8 dB @ 100 MHz, 25.1 dB @ 155 MHz, 29 dB @ 200 MHz, 32.8 dB @ 250 MHz, 36.4 dB @ 300 MHz, 43 dB @ 400 MHz",23 AWG,-,-
RS Pro Yellow 2m Cat6 Ethernet Cable Assembly RJ45,Each,PHP204.25,U/UTP,2m,Yellow,-,PVC,-,-,-,-,-,-,-,-,-
"Siemens Green Cat6 Cable Twisted Pair PVC, 20m",1 Reel of 20 Metre(s),"PHP6,298.10",Twisted Pair,20m,Green,-,PVC,24 AWG,-,-,-,-,-,-,-,-
