name,pack,price,length,shield_type,sheath_color,cond_str_type,conn_type,outer_sht_material,core_strands,fire_behav,awg,strand_num,outer_diameter,voltage_rating,cable_shape,cross_sectl_area
"Belden Grey PVC Cat5e Cable F/UTP, 500m Unterminated",1 Reel of 500 Metre(s),"PHP26,518.57",500m,F/UTP,Grey,Stranded,Unterminated,PVC,7/0.16 mm,-,26,7,5.2mm,48 V,Twisted Pair,0.13 mm²
"3.05m UTP, PVC Cat5e Cable Assembly Grey",Each,PHP191.58,3.05m,UTP,Grey,-,-,PVC,-,-,-,-,-,-,-,-
"Belden Purple PVC Cat5e Cable U/UTP, 305m Unterminated",1 Reel of 304 Metre(s),"PHP28,356.80",305m,U/UTP,Purple,Stranded,Unterminated,PVC,7/32,-,24,7,5.59mm,300 V,Twisted Pair,0.22 mm²
"RS Pro Grey PVC Cat5e Cable F/UTP, 305m Unterminated",1 Reel of 305 Metre(s),"PHP14,589.72",305m,F/UTP,Grey,Stranded,Unterminated,PVC,-,-,26 AWG,-,5mm,-,Twisted Pair,0.2 mm²
"Molex Premise Networks Purple LSZH Cat5e Cable F/UTP, 305m Unterminated",1 Reel of 305 Metre(s),"PHP11,344.79",305m,F/UTP,Purple,Solid,Unterminated,LSZH,-,-,24,-,6.3mm,-,Twisted Pair,-
"C/A, RJ45 TO RJ.5, L=7500",Each,PHP761.00,7.5m,-,Black,-,-,-,-,-,-,-,-,-,-,-
"RS Pro Purple LSZH Cat5e Cable U/UTP, LSZH 305m Unterminated",1 Reel of 305 Metre(s),"PHP8,977.98",305m,U/UTP,Purple,Solid,Unterminated,LSZH,1/24,Low Smoke Zero Halogen (LSZH),24,1,5mm,-,Twisted Pair,0.2 mm²
"5m F/UTP, PVC Cat5e Ethernet Cable Assembly Blue",Each,PHP251.16,5m,F/UTP,Blue,-,-,PVC,-,-,-,-,-,-,-,-
"CAE Multimedia Connect Grey LSZH Cat5e Cable F/UTP, LSZH 305m Unterminated",1 Reel of 305 Metre(s),"PHP17,424.92",305m,F/UTP,Grey,Solid,Unterminated,LSZH,-,Low Smoke Zero Halogen (LSZH),-,-,5.8mm,-,Twisted Pair,-
"1m U/UTP, PVC Cat5e Ethernet Cable Assembly Yellow",Each,PHP63.81,1m,U/UTP,Yellow,-,-,PVC,-,-,-,-,-,-,-,-
8.23m UTP Cat5e Cable Assembly Grey,Each,"PHP7,173.13",8.23m,UTP,Grey,-,-,-,-,-,-,-,-,-,-,-
"3.05m UTP, PVC Cat5e Cable Assembly Green",Each,PHP191.58,3.05m,UTP,Green,-,-,PVC,-,-,-,-,-,-,-,-
"Harting Yellow PUR Cat5e Cable Aluminium Foil, Tinned Copper Braid, 50m Unterminated",1 Reel of 50 Metre(s),"PHP35,534.98",50m,"Aluminium Foil, Tinned Copper Braid",Yellow,Stranded,Unterminated,PUR,19/26 AWG,"Flame Retardant, Halogen Free",26 AWG,19,6.8mm,125 V,Twisted Pair,0.13 mm²
"C/A, RJ45 TO RJ.5, L=7500",Each (In a Bag of 25),PHP738.36,7.5m,-,Black,-,-,-,-,-,-,-,-,-,-,-
"Belden Green PVC Cat5e Cable SF/UTP, 305m Unterminated",1 Reel of 305 Metre(s),"PHP22,510.07",305m,SF/UTP,Green,-,Unterminated,PVC,1/22,Flame Retardant,22 AWG,1,-,300 V ac,Multicore,0.33 mm²
"2m U/UTP, PVC Cat5e Ethernet Cable Assembly Red",Each,PHP132.66,2m,U/UTP,Red,-,-,PVC,-,-,-,-,-,-,-,-
"30m UTP LSZH/FRNC, Cat5e Cable Assembly Blue",Each,PHP620.31,30m,UTP,Blue,-,-,LSZH,-,-,-,-,-,-,-,-
"25m UTP LSZH/FRNC, Cat5e Cable Assembly Grey",Each,PHP791.70,25m,UTP,Grey,-,-,LSZH,-,-,-,-,-,-,-,-
"1m U/UTP, PVC Cat5e Ethernet Cable Assembly Blue",Each,PHP234.81,1m,U/UTP,Blue,-,-,PVC,-,-,-,-,-,-,-,-
